translator,family,language,domain,cosine,bleu,ter,embedding
google,semitic,ar,emotional,0.9902782145718172,62.68648196444458,23.795180722891565,0.93436598777771
google,semitic,iw,conversational,0.990816143941381,73.52125320686059,18.56223175965665,0.8973588347434998
google,semitic,iw,cultural,0.9871567726114648,75.03435390259017,14.97764530551416,0.9557201266288756
google,semitic,iw,idiomatic,0.9876873205516428,71.3695770856016,19.341840161182,0.9304057955741882
google,semitic,iw,technical,0.9839649869040784,73.5253167052563,15.896632732967896,0.9628356695175172
google,semitic,iw,legal,0.9869787158311574,64.13681095070537,22.971048884670147,0.9192147254943848
google,semitic,iw,emotional,0.9907854870742662,65.88499395192845,20.883534136546185,0.941357433795929
google,semitic,mt,conversational,0.9953018326702172,81.40724177086385,12.23175965665236,0.936059594154358
google,semitic,mt,cultural,0.992660971098701,83.18848064685587,9.761549925484353,0.9800439476966858
google,semitic,mt,idiomatic,0.9934632160195442,83.19855361386313,10.476830087306915,0.9694971442222596
google,semitic,mt,technical,0.9914935366312336,83.13031125804065,9.866875489428349,0.9839799404144288
google,semitic,mt,legal,0.9935100604475536,79.92459530234744,12.244897959183673,0.967308759689331
google,semitic,mt,emotional,0.9932159051608068,72.40688923834969,16.164658634538153,0.9519797563552856
google,east_asian,ja,conversational,0.9792021498924736,46.02323595627919,44.742489270386265,0.7765353322029114
google,east_asian,ja,cultural,0.9731905846517164,50.98209613484869,33.97913561847988,0.9300765991210938
google,east_asian,ja,idiomatic,0.9725553713933102,46.511487172898654,42.64607118871726,0.8497398495674133
google,east_asian,ja,technical,0.9772549278476654,58.434401125871474,28.191072826938136,0.9696451425552368
google,east_asian,ja,legal,0.9807258537996634,53.77795033470233,29.046037019458947,0.9159403443336488
google,east_asian,ja,emotional,0.9852199028230486,47.60249675936144,37.09839357429719,0.8974890112876892
google,east_asian,ko,conversational,0.9825935415478771,44.70970747320693,43.56223175965665,0.7823725938796997
google,east_asian,ko,cultural,0.9771447478781072,53.01167975933716,32.93591654247392,0.9359585046768188
google,east_asian,ko,idiomatic,0.9731842765298624,52.47495598436639,35.661517797179314,0.8686243295669556
google,east_asian,ko,technical,0.977325571731468,61.19687991828712,26.311667971808927,0.9690143465995787
google,east_asian,ko,legal,0.9805441294582916,52.04158468119532,30.849549121974373,0.9105561971664428
google,east_asian,ko,emotional,0.9853047857376824,48.90987994074749,37.95180722891566,0.90311998128891
google,east_asian,zh-CN,conversational,0.9826451712506604,52.38757346215455,37.01716738197425,0.818970799446106
google,east_asian,zh-CN,cultural,0.9726272753730122,48.8455155231837,37.48137108792847,0.9155235886573792
google,east_asian,zh-CN,idiomatic,0.9655553169275956,42.05452810307877,47.14573539288113,0.8122659921646118
google,east_asian,zh-CN,technical,0.980122663963828,64.50956910823461,24.0407204385278,0.9672341346740724
google,east_asian,zh-CN,legal,0.9780163546463472,49.089032933212486,34.9311817750356,0.9046984910964966
google,east_asian,zh-CN,emotional,0.9839833850114512,45.22975947344745,38.80522088353413,0.8854002952575684
google,south_se_asian,bn,conversational,0.9924701722299336,72.71473762353867,19.742489270386265,0.9013838171958924
google,south_se_asian,bn,cultural,0.9769950359848084,63.35015224780653,23.62146050670641,0.9239057898521424
google,south_se_asian,bn,idiomatic,0.979225305592296,62.85286846194337,25.654801880456684,0.8742232322692871
google,south_se_asian,bn,technical,0.9838797809562012,75.42532725522094,16.91464369616288,0.9752872586250304
google,south_se_asian,bn,legal,0.9883111621984144,69.42780738740802,18.55719031798766,0.9493373036384584
